Directorate,Department,Specialty,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Clinical service management,Multidisciplinary meetings,Non-individual patient attributable,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Unpredictable Emergency Work,Ward rounds,Total,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2024,2008,,,,,,,11.0008,,,,,,,11.0008,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2024,2021,,,,,,,10.8859,,,,,,,10.8859,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2024,2008,,,,,,,10.7292,,,,,,,10.7292,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2024,2021,,,,,,,10.8853,,,,,,,10.8853,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,,,,,,5.3122,,1.0417,1.1500,,0.5000,,8.0039,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2024,2021,,,,,,,10.8859,,,,,,,10.8859,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,,,,,,5.3125,,,1.6500,,,,6.9625,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,,,,,,11.4063,,,,,,,11.4063,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2024,2008,,,2.5000,,,,8.7917,,,,,,,11.2917,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,,,,,,7.3957,,,1.0000,,0.6670,,9.0627,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,,,,,,7.4998,,,0.8350,,0.8350,,9.1698,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Part time,01/11/2023,2003,,,,,,,5.0000,,,,,,,5.0000,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,Locum,,,,,,6.9793,,,1.5000,,1.5000,,9.9793,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,,,,,,5.3123,,,0.8350,,0.8350,,6.9823,
