Directorate,Department,Specialty,Team,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Clinical service management,Multidisciplinary meetings,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Travelling time,Unpredictable Emergency Work,Ward rounds,Total,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Full time,01/04/2025,2003,,0.7944,0.2500,,,0.8303,,2.4880,1.3279,,,0.5692,1.4479,7.7077,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Full time,07/08/2024,2003,,0.7261,,,,1.3992,,1.8096,1.3691,,,0.6032,2.2304,8.1376,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Full time,01/04/2025,2003,,0.7500,1.9285,,0.0714,0.6250,,1.6250,1.3279,,,0.5692,1.7733,8.6703,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Full time,16/09/2024,2003,,0.3571,0.9048,,,0.8605,0.0714,2.4460,1.3691,,,0.6032,2.2560,8.8681,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Part time,01/04/2025,2003,Locum,0.3660,1.2588,,0.1250,1.0178,,0.7143,1.2050,,,0.3390,1.9242,6.9501,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Full time,01/04/2025,2003,,0.5258,,,0.2262,1.1429,,2.6013,0.6066,,,0.2376,1.1310,6.4714,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Full time,01/09/2020,2003,,0.3529,,,1.5255,2.3010,,1.2351,0.8880,,,0.5601,2.0903,8.9529,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Full time,01/04/2025,2003,,1.2232,0.5000,,0.0357,0.6250,,3.5625,,,,,,5.9464,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,SAS Doctor,Full time,01/03/2025,Pre 2008,,0.5000,2.0000,,0.5000,,,4.5000,,,,,,7.5000,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Full time,01/04/2025,2003,,0.4167,0.5000,,2.9643,1.7857,,1.3929,1.3279,,,0.5692,0.6101,9.5668,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Full time,01/04/2025,2003,,0.4524,,,,0.5952,,1.6191,1.2712,,,0.5601,1.1310,5.6290,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Full time,01/04/2025,2003,,0.6161,,,,2.8214,,1.1786,1.3007,,,0.5601,1.8034,8.2803,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Part time,01/04/2025,2003,,1.0000,0.7902,,0.4285,0.3616,,1.3378,0.4349,,,0.1820,0.5653,5.1003,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Full time,01/04/2025,2003,,0.4215,,,0.5625,1.6696,,1.0446,1.3279,,,0.5692,2.0592,7.6545,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Full time,01/04/2025,2003,,0.5833,,,,0.5357,,2.4762,1.3279,,,0.5692,2.0862,7.5785,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Full time,01/04/2025,2003,,1.5044,0.8929,,,1.2500,,2.0059,0.6356,,,0.2800,1.4524,8.0212,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,SAS Doctor,Part time,01/04/2025,2008,,0.6754,,,0.5000,0.6072,0.3214,2.6964,,,,,,4.8004,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Full time,01/04/2025,2003,,0.5625,,,,0.7768,,2.7398,1.3279,,,0.5323,1.8536,7.7929,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Full time,01/04/2025,2003,,0.7486,,,2.7233,0.3214,,1.4613,1.3279,,,0.4586,1.9881,9.0292,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,,Consultant,Full time,01/04/2025,2003,Locum,2.6876,,,1.6876,,,0.5000,1.0000,,,,3.5939,9.4691,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,,SAS Doctor,Full time,01/04/2025,2008,,2.5939,,,0.8751,,,,,,,,5.0000,8.4690,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,,SAS Doctor,Full time,01/04/2025,2021,,1.5000,,,0.9688,,,4.0000,,,,,1.9375,8.4063,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,,SAS Doctor,Full time,01/04/2025,2008,,2.3750,,,1.3750,,,0.5000,,,,,4.2500,8.5000,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,,Consultant,Full time,01/04/2025,2003,,1.1250,,,0.4688,,,0.2500,,,,,4.4688,6.3126,
