Directorate,Department,Specialty,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Multidisciplinary meetings,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Unpredictable Emergency Work,Ward rounds,Total,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2023,2008,,,,,11.4583,,,,,,0.2143,11.6726,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2023,2003,,,,,5.1143,,1.0417,1.1500,,0.5000,,7.8060,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2023,2021,,,,,10.5734,,,,,,,10.5734,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2023,2003,,,,,5.3125,,,1.6500,,,,6.9625,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2023,2003,,,,,11.4583,,,,,,,11.4583,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2023,2008,,,2.5000,,8.9583,,,,,,,11.4583,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/06/2021,Pre 2003,,,,,3.2810,,,1.0000,,1.0000,,5.2810,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2023,2003,Locum,,,,7.4997,,,0.8350,,0.8350,,9.1697,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2023,2003,,,,,5.9375,,,,,,2.1876,8.1251,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2023,2003,,,,,7.0315,,,1.0000,,1.0000,,9.0315,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Part time,01/04/2023,2003,,,,,1.2500,,,,,,,1.2500,
