Service Type,Service Name,Cost Centre Code,Cost Centre Code Desc,Cost type,Subjective Code Desc,Year/Month,Actual / Forecast,Unit type,Units,Total cost,Per unit cost,Assignment number,Specialty (standardised),Site / Location,Directorate / Division,Staff group,Pay type,WTE equivalent,Cost per hour
,Estates,259215,EBME,Pay,Snr Managers,2025-12,,WTE,-1.00,"-£6,178.74",,,EMBE,,Estates & Facilities,Senior Managers,Substantive,-1.00,
,Estates,259215,EBME,Pay,Nursing,2025-12,,WTE,-1.00,"-£7,029.86",,,EMBE,,Estates & Facilities,Nursing & Midwifery Staff,Substantive,-1.00,
,Estates,259215,EBME,Pay,"Scientific, Therapeutic & Tech",2025-12,,WTE,-6.00,"-£23,087.65",,,EMBE,,Estates & Facilities,"Scientific, Therapeutic & Technical Staff",Substantive,-6.00,
,Capital Dept,259216,CAPITAL PROJECT TEAM,Pay,Snr Managers,2025-12,,WTE,0.00,£878.92,,,Capital Department,,Estates & Facilities,Senior Managers,Substantive,0.00,
,Capital Dept,259216,CAPITAL PROJECT TEAM,Pay,Maintenance & Works Staff,2025-12,,WTE,0.05,£328.01,,,Capital Department,,Estates & Facilities,Maintenance & Works Staff,Substantive,0.05,
,Capital Dept,259216,CAPITAL PROJECT TEAM,Pay,Admin & Clerical,2025-12,,WTE,-0.55,"-£1,682.64",,,Capital Department,,Estates & Facilities,Admin & Clerical Staff,Substantive,-0.55,
,Facilities,259218,HOTEL SERVICES MANAGEMENT,Pay,Snr Managers,2025-12,,WTE,-3.65,"-£23,458.75",,,Facilities - other,,Estates & Facilities,Senior Managers,Substantive,-3.65,
,Facilities,259218,HOTEL SERVICES MANAGEMENT,Pay,Admin & Clerical,2025-12,,WTE,-7.00,"-£26,363.31",,,Facilities - other,,Estates & Facilities,Admin & Clerical Staff,Substantive,-7.00,
,Facilities,259219,POSTAL SERVICES,Pay,Ancillary,2025-12,,WTE,-1.40,"-£3,454.82",,,Facilities - other,,Estates & Facilities,"HCA, Other Support & Ancillary Staff",Substantive,-1.40,
,Facilities,259220,ACCOMMODATION,Pay,Ancillary,2025-12,,WTE,-1.40,"-£4,268.28",,,Facilities - other,,Estates & Facilities,"HCA, Other Support & Ancillary Staff",Substantive,-1.40,
,Facilities,259221,TRANSPORT SERVICES,Pay,Ancillary,2025-12,,WTE,-2.00,"-£5,431.34",,,Facilities - other,,Estates & Facilities,"HCA, Other Support & Ancillary Staff",Substantive,-2.00,
