,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Service Type,Service Name,Cost Centre Code,Cost Centre Code Desc,Cost type,Subjective Code Desc,Year/Month,Actual / Forecast,Unit type,Units,Total cost,Per unit cost,Assignment number,Specialty (standardised),Site / Location,Directorate / Division,Staff group,Pay type,WTE equivalent,Cost per hour
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2024-02,,WTE,-5.73,"-£79,164.01",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-5.73,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2024-02,,WTE,-1.92,"-£41,949.63",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-1.92,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2024-02,,WTE,-47.92,"-£307,047.26",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-47.92,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2024-03,,WTE,-4.27,"-£46,777.77",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-4.27,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2024-03,,WTE,-1.61,"£4,947.23",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-1.61,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2024-03,,WTE,-47.81,"-£322,994.27",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-47.81,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Nursing,2023-11,,WTE,-6.76,"-£38,943.87",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-6.76,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Nursing,2023-12,,WTE,-6.76,"-£39,068.02",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-6.76,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Nursing,2024-01,,WTE,-6.76,"-£40,574.51",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-6.76,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Nursing,2024-02,,WTE,-6.76,"-£40,288.98",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-6.76,
