Service Type,Service Name,Cost Centre Code,Cost Centre Code Desc,Cost type,Subjective Code Desc,Year/Month,Actual / Forecast,Unit type,Units,Total cost,Per unit cost,Assignment number,Specialty (standardised),Site / Location,Directorate / Division,Staff group,Pay type,WTE equivalent,Cost per hour
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-09,,WTE,-10.36,"(£165,189.09)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-10.36,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-09,,WTE,-65.6,"(£506,712.67)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-65.6,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-10,,WTE,-0.49,(£336.55),,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-0.49,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-10,,WTE,-12.65,"(£107,410.80)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-12.65,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-10,,WTE,-66.33,"(£802,920.05)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-66.33,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-11,,WTE,-0.55,"(£16,421.07)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-0.55,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-11,,WTE,-8.94,"(£120,707.69)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-8.94,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-11,,WTE,-64.26,"(£555,536.00)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-64.26,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-12,,WTE,-1.24,"(£30,588.21)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-1.24,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-12,,WTE,-8.78,"(£121,008.22)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-8.78,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-12,,WTE,-67.57,"(£582,906.58)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-67.57,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2025-01,,WTE,-3.52,"(£53,588.03)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-3.52,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2025-01,,WTE,-8.5,"(£103,292.31)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-8.5,
