Provider Code,Provider Name,Region Name,Region Code,ICB Code,ICB Name,Acute Status,Activity Month,Moved or Discharged
RM3,Northern Care Alliance NHS Foundation Trust,North West,Y62,QOP,NHS Greater Manchester Integrated Care Board,Acute,01/09/2022,87
RMC,Bolton NHS Foundation Trust,North West,Y62,QOP,NHS Greater Manchester Integrated Care Board,Acute,01/09/2022,192
RMP,Tameside And Glossop Integrated Care NHS Foundation Trust,North West,Y62,QOP,NHS Greater Manchester Integrated Care Board,Acute,01/09/2022,183
RN3,Great Western Hospitals NHS Foundation Trust,South West,Y58,QOX,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,Acute,01/09/2022,1126
RN5,Hampshire Hospitals NHS Foundation Trust,South East,Y59,QRL,NHS Hampshire and Isle Of Wight Integrated Care Board,Acute,01/09/2022,3578
RN7,Dartford And Gravesham NHS Trust,South East,Y59,QKS,NHS Kent and Medway Integrated Care Board,Acute,01/09/2022,328
RNA,The Dudley Group NHS Foundation Trust,Midlands,Y60,QUA,NHS Black Country Integrated Care Board,Acute,01/09/2022,130
RNN,North Cumbria Integrated Care NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/09/2022,195
RNQ,Kettering General Hospital NHS Foundation Trust,Midlands,Y60,QPM,NHS Northamptonshire Integrated Care Board,Acute,01/09/2022,1000
RNS,Northampton General Hospital NHS Trust,Midlands,Y60,QPM,NHS Northamptonshire Integrated Care Board,Acute,01/09/2022,433
RNZ,Salisbury NHS Foundation Trust,South West,Y58,QOX,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,Acute,01/09/2022,422
RP1,Northamptonshire Healthcare NHS Foundation Trust,Midlands,Y60,QPM,NHS Northamptonshire Integrated Care Board,Non-Acute,01/09/2022,0
RP5,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,North East and Yorkshire,Y63,QF7,NHS South Yorkshire Integrated Care Board,Acute,01/09/2022,571
RP6,Moorfields Eye Hospital NHS Foundation Trust,London,Y56,QMJ,NHS North Central London Integrated Care Board,Acute,01/09/2022,30
RPA,Medway NHS Foundation Trust,South East,Y59,QKS,NHS Kent and Medway Integrated Care Board,Acute,01/09/2022,104
RPC,Queen Victoria Hospital NHS Foundation Trust,South East,Y59,QNX,NHS Sussex Integrated Care Board,Acute,01/09/2022,214
RPY,The Royal Marsden NHS Foundation Trust,London,Y56,QWE,NHS South West London Integrated Care Board,Acute,01/09/2022,118
RQ3,Birmingham Women's And Children's NHS Foundation Trust,Midlands,Y60,QHL,NHS Birmingham and Solihull Integrated Care Board,Acute,01/09/2022,101
RQM,Chelsea And Westminster Hospital NHS Foundation Trust,London,Y56,QRV,NHS North West London Integrated Care Board,Acute,01/09/2022,1184
RQW,The Princess Alexandra Hospital NHS Trust,East of England,Y61,QM7,NHS Hertfordshire and West Essex Integrated Care Board,Acute,01/09/2022,376
RQX,Homerton University Hospital NHS Foundation Trust,London,Y56,QMF,NHS North East London Integrated Care Board,Acute,01/09/2022,1133
RR7,Gateshead Health NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/09/2022,483
RR8,Leeds Teaching Hospitals NHS Trust,North East and Yorkshire,Y63,QWO,NHS West Yorkshire Integrated Care Board,Acute,01/09/2022,504
RRE,Midlands Partnership NHS Foundation Trust,Midlands,Y60,QNC,NHS Staffordshire and Stoke on Trent Integrated Care Board,Non-Acute,01/09/2022,65
RRF,"Wrightington, Wigan And Leigh NHS Foundation Trust",North West,Y62,QOP,NHS Greater Manchester Integrated Care Board,Acute,01/09/2022,503
RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,Midlands,Y60,QHL,NHS Birmingham and Solihull Integrated Care Board,Acute,01/09/2022,312
RRK,University Hospitals Birmingham NHS Foundation Trust,Midlands,Y60,QHL,NHS Birmingham and Solihull Integrated Care Board,Acute,01/09/2022,1413
RRV,University College London Hospitals NHS Foundation Trust,London,Y56,QMJ,NHS North Central London Integrated Care Board,Acute,01/09/2022,1714
RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/09/2022,887
RTE,Gloucestershire Hospitals NHS Foundation Trust,South West,Y58,QR1,NHS Gloucestershire Integrated Care Board,Acute,01/09/2022,6806
RTF,Northumbria Healthcare NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/09/2022,548
RTG,University Hospitals of Derby And Burton NHS Foundation Trust,Midlands,Y60,QJ2,NHS Derby and Derbyshire Integrated Care Board,Acute,01/09/2022,4117
RTH,Oxford University Hospitals NHS Foundation Trust,South East,Y59,QU9,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,Acute,01/09/2022,1290
RTK,Ashford And St Peter's Hospitals NHS Foundation Trust,South East,Y59,QXU,NHS Surrey Heartlands Integrated Care Board,Acute,01/09/2022,383
RTP,Surrey And Sussex Healthcare NHS Trust,South East,Y59,QXU,NHS Surrey Heartlands Integrated Care Board,Acute,01/09/2022,38
RTR,South Tees Hospitals NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/09/2022,268
RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,North West,Y62,QE1,NHS Lancashire and South Cumbria Integrated Care Board,Acute,01/09/2022,1484
RVJ,North Bristol NHS Trust,South West,Y58,QUY,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,Acute,01/09/2022,2007
RVR,Epsom And St Helier University Hospitals NHS Trust,London,Y56,QWE,NHS South West London Integrated Care Board,Acute,01/09/2022,892
RVV,East Kent Hospitals University NHS Foundation Trust,South East,Y59,QKS,NHS Kent and Medway Integrated Care Board,Acute,01/09/2022,682
